/dev/CMSSW_8_0_0/GRun/V72																		
																		
		AlCa_EcalEtaEEonly_v3	null	1	1	1	1	1	1	1	1	1	1	1		L1_AlwaysTrue||L1_SingleEG5||L1_SingleEG10||L1_SingleEG15||L1_SingleEG18||L1_SingleEG24||L1_SingleEG26||L1_SingleEG28||L1_SingleEG30||L1_SingleEG34||L1_SingleEG40||L1_SingleEG45||L1_SingleIsoEG18||L1_SingleIsoEG20||L1_SingleIsoEG22||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG34||L1_SingleIsoEG18er||L1_SingleIsoEG20er||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG34er||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_24_17||L1_SingleJet16||L1_SingleJet20||L1_SingleJet35||L1_SingleJet60||L1_SingleJet160||L1_SingleJet90||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC40||L1_DoubleJetC50||L1_DoubleJetC60||L1_DoubleJetC80||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_TripleJet_88_72_56_VBF||L1_TripleJet_84_68_48_VBF||L1_TripleJet_92_76_64_VBF||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_HTT120||L1_HTT160||L1_HTT200||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320||L1_HTT220		
		AlCa_EcalPi0EBonly_v3	null	5	5	5	5	5	5	5	5	5	5	5		L1_AlwaysTrue||L1_SingleEG5||L1_SingleEG10||L1_SingleEG15||L1_SingleEG18||L1_SingleEG24||L1_SingleEG26||L1_SingleEG28||L1_SingleEG30||L1_SingleEG34||L1_SingleEG40||L1_SingleEG45||L1_SingleIsoEG18||L1_SingleIsoEG20||L1_SingleIsoEG22||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG34||L1_SingleIsoEG18er||L1_SingleIsoEG20er||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG34er||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_24_17||L1_SingleJet16||L1_SingleJet20||L1_SingleJet35||L1_SingleJet60||L1_SingleJet160||L1_SingleJet90||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC40||L1_DoubleJetC50||L1_DoubleJetC60||L1_DoubleJetC80||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_TripleJet_88_72_56_VBF||L1_TripleJet_84_68_48_VBF||L1_TripleJet_92_76_64_VBF||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_HTT120||L1_HTT160||L1_HTT200||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320||L1_HTT220		
		AlCa_EcalPi0EEonly_v3	null	1	1	1	1	1	1	1	1	1	1	1		L1_AlwaysTrue||L1_SingleEG5||L1_SingleEG10||L1_SingleEG15||L1_SingleEG18||L1_SingleEG24||L1_SingleEG26||L1_SingleEG28||L1_SingleEG30||L1_SingleEG34||L1_SingleEG40||L1_SingleEG45||L1_SingleIsoEG18||L1_SingleIsoEG20||L1_SingleIsoEG22||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG34||L1_SingleIsoEG18er||L1_SingleIsoEG20er||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG34er||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_24_17||L1_SingleJet16||L1_SingleJet20||L1_SingleJet35||L1_SingleJet60||L1_SingleJet160||L1_SingleJet90||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC40||L1_DoubleJetC50||L1_DoubleJetC60||L1_DoubleJetC80||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_TripleJet_88_72_56_VBF||L1_TripleJet_84_68_48_VBF||L1_TripleJet_92_76_64_VBF||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_HTT120||L1_HTT160||L1_HTT200||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320||L1_HTT220		
stream ALCAPHISYM																		
	dataset AlCaPhiSym																	
		AlCa_EcalPhiSym_v3	null	1	1	1	1	1	1	1	1	1	1	1		L1_ZeroBias||L1_AlwaysTrue		
stream Calibration																		
	dataset TestEnablesEcalHcal																	
		HLT_EcalCalibration_v2	null	1	(none)													
		HLT_HcalCalibration_v1	null	1	(none)													
stream DQM																		
	dataset OnlineMonitor																	
		DST_CaloJet40_BTagScouting_v1	EXO	10	10	10	10	10	10	10	10	10	10	10		L1_ZeroBias		
		DST_CaloJet40_CaloScouting_PFScouting_v1	EXO	10	10	10	10	10	10	10	10	10	10	10		L1_ZeroBias		
		DST_DoubleMu3_Mass10_BTagScouting_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		DST_DoubleMu3_Mass10_PFScouting_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		DST_HT250_CaloScouting_v2	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_HT410_BTagScouting_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_HT410_PFScouting_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_HT450_BTagScouting_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_HT450_PFScouting_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_L1DoubleMu_BTagScouting_v1	EXO	50	50	50	50	50	50	50	50	50	50	50		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		DST_L1DoubleMu_PFScouting_v1	EXO	50	50	50	50	50	50	50	50	50	50	50		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
		DST_L1HTT_BTagScouting_v1	EXO	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_L1HTT_CaloScouting_PFScouting_v1	EXO	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000		L1_HTT200||L1_HTT240||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		DST_ZeroBias_BTagScouting_v1	EXO	200	200	200	200	200	200	200	200	200	200	200		L1_ZeroBias		
		DST_ZeroBias_PFScouting_v1	EXO	200	200	200	200	200	200	200	200	200	200	200		L1_ZeroBias		
		HLT_AK4CaloJet100_v2	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleJet35		
		HLT_AK4CaloJet30_v3	null	0	0	0	0	0	0	0	0	0	0	0		L1_ZeroBias		
		HLT_AK4CaloJet40_v2	null	0	0	0	0	0	0	0	0	0	0	0		L1_ZeroBias		
		HLT_AK4CaloJet50_v2	null	0	0	0	0	0	0	0	0	0	0	0		L1_ZeroBias		
		HLT_AK4CaloJet80_v2	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleJet35		
		HLT_AK4PFJet100_v3	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleJet35		
		HLT_AK4PFJet30_v3	null	0	0	0	0	0	0	0	0	0	0	0		L1_ZeroBias		
		HLT_AK4PFJet50_v3	null	0	0	0	0	0	0	0	0	0	0	0		L1_ZeroBias		
		HLT_AK4PFJet80_v3	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleJet35		
		HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV_p20_v1	null	0	0	1	1	1	1	1	1	1	1	1		L1_SingleJet180||L1_SingleJet200		
		HLT_AK8DiPFJet250_200_TrimMass30_v1	null	0	0	35	25	15	10	5	3	2	1	1		L1_SingleJet180||L1_SingleJet200		
		HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV_p20_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleJet180||L1_SingleJet200		
		HLT_AK8DiPFJet280_200_TrimMass30_v1	null	40	35	20	15	10	6	3	2	1	1	1		L1_SingleJet180||L1_SingleJet200		
		HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV_p20_v1	B2G	0	0	1	1	1	1	1	1	1	1	1		L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v2	B2G	0	0	1	1	1	1	1	1	1	1	1		L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v3	B2G	1	1	1	1	1	1	1	1	1	1	1		L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_AK8PFJet360_TrimMass30_v3	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleJet180||L1_SingleJet200		
		HLT_BTagMu_DiJet110_Mu5_v2	null	1	1	1	1	1	1	1	1	1	1	1		L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4		
		HLT_BTagMu_DiJet20_Mu5_v2	null	2	2	2	2	1	1	1	1	1	1	1		L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4		
		HLT_BTagMu_DiJet40_Mu5_v2	null	1	1	1	1	1	1	1	1	1	1	1		L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4		
		HLT_BTagMu_DiJet70_Mu5_v2	null	4	4	4	3	3	1	1	1	1	1	1		L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4		
		HLT_BTagMu_Jet300_Mu5_v2	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleJet200		
		HLT_CaloJet500_NoJetID_v2	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleJet170||L1_SingleJet180||L1_SingleJet200		
		HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV_p067_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_ETM50||L1_ETM60||L1_ETM60_Jet60_dPhi_Min0p4||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_DoubleJetC60_ETM60		
		HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_v2	null	50	50	25	17	12	7	3	2	1	1	1		L1_ETM50||L1_ETM60||L1_ETM60_Jet60_dPhi_Min0p4||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_DoubleJetC60_ETM60		
		HLT_DiCentralPFJet55_PFMET110_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100		
		HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v3	HIG	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu7_EG7		
		HLT_DiPFJet15_FBEta3_NoCaloMatched_v1	FSQ	0	0	0	0	0	0	0	0	0	0	0		L1_AlwaysTrue		
		HLT_DiPFJet15_NoCaloMatched_v1	FSQ	0	0	0	0	0	0	0	0	0	0	0		L1_SingleJet8_BptxAND		
		HLT_DiPFJet25_FBEta3_NoCaloMatched_v1	FSQ	0	0	0	0	0	0	0	0	0	0	0		L1_AlwaysTrue		
		HLT_DiPFJet25_NoCaloMatched_v1	FSQ	0	0	0	0	0	0	0	0	0	0	0		L1_SingleJet12_BptxAND		
		HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu140_v1	HIG	1	1	1	1	1	1	1	1	1	1	1		L1_ETM80||L1_ETM90||L1_ETM100		
		HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu80_v1	HIG	1	1	80	60	40	1	1	1	1	1	1		L1_ETM50||L1_ETM60		
		HLT_DiPFJetAve100_HFJEC_v3	null	1500	1	1	1	1	1	1	1	1	1	1		L1_SingleJet60		
		HLT_DiPFJetAve140_v2	JME	2	2	2	2	1	1	1	1	1	1	1		L1_SingleJet90		
		HLT_DiPFJetAve15_HFJEC_v1	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleJet8_BptxAND		
		HLT_DiPFJetAve160_HFJEC_v3	null	48	48	24	16	12	6	3	2	1	1	1		L1_SingleJet120		
		HLT_DiPFJetAve200_v2	JME	250	250	125	85	60	35	16	12	9	6	4		L1_SingleJet120		
		HLT_DiPFJetAve220_HFJEC_v3	null	2	2	1	1	1	1	1	1	1	1	1		L1_SingleJet170		
		HLT_DiPFJetAve25_HFJEC_v1	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleJet12_BptxAND		
		HLT_DiPFJetAve260_v2	JME	85	85	85	60	42	24	12	8	6	4	2		L1_SingleJet170		
		HLT_DiPFJetAve300_HFJEC_v3	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleJet170		
		HLT_DiPFJetAve320_v2	JME	15	15	15	10	6	4	2	1	1	1	1		L1_SingleJet170		
		HLT_DiPFJetAve35_HFJEC_v1	null	0	0	0	0	0	0	0	0	0	0	0		L1_SingleJet16		
		HLT_DiPFJetAve400_v2	JME	5	5	5	3	2	1	1	1	1	1	1		L1_SingleJet170		
		HLT_DiPFJetAve40_v2	JME	25	25	16	12	8	5	3	2	1	1	1		L1_ZeroBias		
		HLT_DiPFJetAve500_v2	JME	1	1	1	1	1	1	1	1	1	1	1		L1_SingleJet170		
		HLT_DiPFJetAve60_HFJEC_v3	null	1000	1	1	1	1	1	1	1	1	1	1		L1_SingleJet35		
		HLT_DiPFJetAve60_v2	JME	1	1	1	1	1	1	1	1	1	1	1		L1_ZeroBias		
		HLT_DiPFJetAve80_HFJEC_v3	null	2	1	1	1	1	1	1	1	1	1	1		L1_SingleJet60		
		HLT_DiPFJetAve80_v2	JME	7	7	7	7	7	7	7	7	7	7	7		L1_SingleJet60		
		HLT_DiSC30_18_EIso_AND_HE_Mass70_v1	null	500	500	500	500	500	500	500	500	500	500	500		L1_SingleIsoEG22er||L1_SingleIsoEG24||L1_SingleEG40||L1_DoubleEG_18_17||L1_DoubleEG_22_12||L1_DoubleEG_15_10		
		HLT_Dimuon0_Jpsi_Muon_v2	BPH	1	1	1	1	1	1	1	1	1	1	1		L1_TripleMu0		
		HLT_Dimuon0_Phi_Barrel_v2	BPH	0	0	1	1	1	1	1	1	1	1	1		L1_DoubleMu0er1p6_dEta_Max1p8_OS		
		HLT_Dimuon0_Upsilon_Muon_v2	BPH	1	1	1	1	1	1	1	1	1	1	1		L1_TripleMu0		
		HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2	BPH	50	1	50	36	24	14	7	5	3	2	1		L1_DoubleMu0er1p6_dEta_Max1p8		
		HLT_Dimuon0er16_Jpsi_NoVertexing_v2	BPH	100	100	50	35	25	14	7	5	3	2	1		L1_DoubleMu0er1p6_dEta_Max1p8_OS		
		HLT_Dimuon10_Jpsi_Barrel_v2	BPH	0	0	5	3	2	1	1	1	1	1	1		L1_DoubleMu0er1p6_dEta_Max1p8_OS		
		HLT_Dimuon13_PsiPrime_v2	BPH	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_10_0_dEta_Max1p8		
		HLT_Dimuon13_Upsilon_v2	BPH	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_10_0_dEta_Max1p8		
		HLT_Dimuon16_Jpsi_v2	BPH	0	0	1	1	1	1	1	1	1	1	1		L1_DoubleMu_10_0_dEta_Max1p8		
		HLT_Dimuon20_Jpsi_v2	BPH	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_10_0_dEta_Max1p8		
		HLT_Dimuon6_Jpsi_NoVertexing_v2	BPH	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu0		
		HLT_Dimuon8_PsiPrime_Barrel_v2	BPH	0	0	1	1	1	1	1	1	1	1	1		L1_DoubleMu0er1p6_dEta_Max1p8_OS		
		HLT_Dimuon8_Upsilon_Barrel_v2	BPH	0	0	2	1	1	1	1	1	1	1	1		L1_DoubleMu0er1p6_dEta_Max1p8_OS		
		HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||	L1_SingleIsoEG26||L1_SingleIsoEG24||L1_DoubleEG_15_10||L1_DoubleEG_22_12||L1_DoubleEG_18_17	
		HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||	L1_SingleIsoEG26||L1_SingleIsoEG24||L1_DoubleEG_15_10||L1_DoubleEG_22_12||L1_DoubleEG_18_17	
		HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||	L1_SingleIsoEG26||L1_SingleIsoEG24||L1_DoubleEG_15_10||L1_DoubleEG_22_12||L1_DoubleEG_18_17	
		HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||	L1_SingleIsoEG26||L1_SingleIsoEG24||L1_DoubleEG_15_10||L1_DoubleEG_22_12||L1_DoubleEG_18_17	
		HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||	L1_SingleIsoEG26||L1_SingleIsoEG24||L1_DoubleEG_15_10||L1_DoubleEG_22_12||L1_DoubleEG_18_17	
		HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf_v2	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleEG_22_10||L1_DoubleEG_24_17		
		HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_MW_v3	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleEG30||L1_SingleEG26||L1_DoubleEG_22_10||L1_DoubleEG_24_17||L1_SingleJet200		
		HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v3	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleEG30||L1_SingleEG26||L1_DoubleEG_22_10||L1_DoubleEG_24_17||L1_SingleJet200		
		HLT_DoubleEle33_CaloIdL_MW_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleEG30||L1_SingleEG26||L1_DoubleEG_22_10||L1_DoubleEG_24_17||L1_SingleJet200		
		HLT_DoubleEle33_CaloIdL_v1	EXO	0	0	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleEG30||L1_SingleEG26||L1_DoubleEG_22_10||L1_DoubleEG_24_17||L1_SingleJet200		
		HLT_DoubleEle37_Ele27_CaloIdL_GsfTrkIdVL_v1	EXO	1	1	1	1	1	1	1	1	1	1	1		L1_SingleEG40||L1_SingleEG40||L1_SingleEG30||L1_SingleEG26||L1_SingleEG24||L1_DoubleEG_22_10||L1_DoubleEG_24_17||L1_SingleJet200		
		HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT250_v1	null	0	0	1	1	1	1	1	1	1	1	1		L1_DoubleEG6_HTT255||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v4	null	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleEG6_HTT255||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320		
		HLT_DoubleIsoMu17_eta2p1_noDzCut_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_12_5		
		HLT_DoubleIsoMu17_eta2p1_v3	TAU,HIG	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleMu_12_5		
		HLT_DoubleJet90_Double30_DoubleBTagCSV_p087_v1	null	50	50	25	18	12	7	3	2	1	1	1		L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120		
		HLT_DoubleJet90_Double30_TripleBTagCSV_p087_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120		
		HLT_DoubleJetsC100_DoubleBTagCSV_p014_DoublePFJetsC100MaxDeta1p6_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleJetC100		
		HLT_DoubleJetsC100_DoubleBTagCSV_p026_DoublePFJetsC160_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleJetC100		
		HLT_DoubleJetsC100_SingleBTagCSV_p014_SinglePFJetC350_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleJetC100		
		HLT_DoubleJetsC100_SingleBTagCSV_p014_v1	null	50	50	25	18	12	7	3	2	1	1	1		L1_DoubleJetC100		
		HLT_DoubleJetsC100_SingleBTagCSV_p026_SinglePFJetC350_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleJetC100		
		HLT_DoubleJetsC100_SingleBTagCSV_p026_v1	null	50	50	25	18	12	7	3	2	1	1	1		L1_DoubleJetC100		
		HLT_DoubleJetsC112_DoubleBTagCSV_p014_DoublePFJetsC112MaxDeta1p6_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleJetC112		
		HLT_DoubleJetsC112_DoubleBTagCSV_p026_DoublePFJetsC172_v1	null	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleJetC112		
		HLT_DoubleMediumIsoPFTau32_Trk1_eta2p1_Reg_v1	TAU,HIG,EXO	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleIsoTau26er||L1_DoubleIsoTau27er||L1_DoubleIsoTau28er||L1_DoubleIsoTau29er||L1_DoubleIsoTau30er||L1_DoubleIsoTau32er		
		HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v2	TAU,HIG,EXO	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleIsoTau26er||L1_DoubleIsoTau27er||L1_DoubleIsoTau28er||L1_DoubleIsoTau29er||L1_DoubleIsoTau30er||L1_DoubleIsoTau32er		
		HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v4	TAU,HIG,EXO	1	1	1	1	1	1	1	1	1	1	1		L1_DoubleIsoTau26er||L1_DoubleIsoTau27er||L1_DoubleIsoTau28er||L1_DoubleIsoTau29er||L1_DoubleIsoTau30er||L1_DoubleIsoTau32er		
		HLT_DoubleMu18NoFiltersNoVtx_v2	EXO	120	120	60	35	25	17	6	5	4	3	1		L1_DoubleMu_11_4||L1_DoubleMu_12_5		
